ip_away,h_away,r_away,er_away,bb_away,k_away,hr_away,era_away,p_away,s_away,name_away,personId_away,note_away,game_id,ip_home,h_home,r_home,er_home,bb_home,k_home,hr_home,era_home,p_home,s_home,name_home,personId_home,note_home,namefield_away,namefield_home
0.2,0,0,0,0,1,0,1.40,7,5,"Lee, D",669276.0,"(H, 1)",745825,5.0,4,2,2,3,4,1,3.00,94,55,"Severino, L",622663.0,,"Lee, D  (H, 1)","Severino, L"
0.2,0,0,0,0,1,0,1.40,7,5,"Lee, D",669276.0,"(H, 1)",745825,2.0,1,0,0,1,3,0,0.43,27,18,"Garrett, R",657585.0,,"Lee, D  (H, 1)","Garrett, R"
0.2,0,0,0,0,1,0,1.40,7,5,"Lee, D",669276.0,"(H, 1)",745825,0.1,1,1,1,1,0,0,3.68,14,7,Ottavino,493603.0,,"Lee, D  (H, 1)",Ottavino
0.2,0,0,0,0,1,0,1.40,7,5,"Lee, D",669276.0,"(H, 1)",745825,0.2,0,0,0,1,0,0,3.65,11,4,Diekman,518617.0,,"Lee, D  (H, 1)",Diekman
0.2,0,0,0,0,1,0,1.40,7,5,"Lee, D",669276.0,"(H, 1)",745825,1.0,0,0,0,0,1,0,2.30,14,11,Díaz,621242.0,"(W, 1-1)","Lee, D  (H, 1)","Díaz  (W, 1-1)"
0.1,2,2,2,0,0,1,3.78,12,7,Minter,621345.0,"(L, 5-3)(BS, 3)",745825,IP,H,R,ER,BB,K,HR,ERA,P,S,Braves Pitchers,0.0,,"Minter  (L, 5-3)(BS, 3)",Mets Pitchers
0.1,2,2,2,0,0,1,3.78,12,7,Minter,621345.0,"(L, 5-3)(BS, 3)",745825,5.0,4,2,2,3,4,1,3.00,94,55,"Severino, L",622663.0,,"Minter  (L, 5-3)(BS, 3)","Severino, L"
0.1,2,2,2,0,0,1,3.78,12,7,Minter,621345.0,"(L, 5-3)(BS, 3)",745825,2.0,1,0,0,1,3,0,0.43,27,18,"Garrett, R",657585.0,,"Minter  (L, 5-3)(BS, 3)","Garrett, R"
0.1,2,2,2,0,0,1,3.78,12,7,Minter,621345.0,"(L, 5-3)(BS, 3)",745825,0.1,1,1,1,1,0,0,3.68,14,7,Ottavino,493603.0,,"Minter  (L, 5-3)(BS, 3)",Ottavino
0.1,2,2,2,0,0,1,3.78,12,7,Minter,621345.0,"(L, 5-3)(BS, 3)",745825,0.2,0,0,0,1,0,0,3.65,11,4,Diekman,518617.0,,"Minter  (L, 5-3)(BS, 3)",Diekman
0.1,2,2,2,0,0,1,3.78,12,7,Minter,621345.0,"(L, 5-3)(BS, 3)",745825,1.0,0,0,0,0,1,0,2.30,14,11,Díaz,621242.0,"(W, 1-1)","Minter  (L, 5-3)(BS, 3)","Díaz  (W, 1-1)"
IP,H,R,ER,BB,K,HR,ERA,P,S,Cardinals Pitchers,0.0,,745990,IP,H,R,ER,BB,K,HR,ERA,P,S,Cardinals Pitchers,0.0,,Cardinals Pitchers,Brewers Pitchers
IP,H,R,ER,BB,K,HR,ERA,P,S,Cardinals Pitchers,0.0,,745990,4.0,5,2,2,5,1,1,2.65,80,42,"Wilson, B",669060.0,,Cardinals Pitchers,"Wilson, B"
IP,H,R,ER,BB,K,HR,ERA,P,S,Cardinals Pitchers,0.0,,745990,2.0,3,1,1,0,2,0,2.93,28,21,Koenig,657649.0,,Cardinals Pitchers,Koenig
IP,H,R,ER,BB,K,HR,ERA,P,S,Cardinals Pitchers,0.0,,745990,1.0,2,1,1,0,1,0,3.71,11,9,"Peguero, E",665625.0,"(L, 4-1)",Cardinals Pitchers,"Peguero, E  (L, 4-1)"
IP,H,R,ER,BB,K,HR,ERA,P,S,Cardinals Pitchers,0.0,,745990,1.0,0,0,0,0,1,0,1.86,17,9,Milner,571948.0,,Cardinals Pitchers,Milner
IP,H,R,ER,BB,K,HR,ERA,P,S,Cardinals Pitchers,0.0,,745990,1.0,1,0,0,2,0,0,4.87,26,13,Vieira,600986.0,,Cardinals Pitchers,Vieira
6.0,6,3,3,3,3,0,6.19,95,60,Mikolas,571945.0,"(W, 3-5)",745990,IP,H,R,ER,BB,K,HR,ERA,P,S,Cardinals Pitchers,0.0,,"Mikolas  (W, 3-5)",Brewers Pitchers
6.0,6,3,3,3,3,0,6.19,95,60,Mikolas,571945.0,"(W, 3-5)",745990,4.0,5,2,2,5,1,1,2.65,80,42,"Wilson, B",669060.0,,"Mikolas  (W, 3-5)","Wilson, B"
6.0,6,3,3,3,3,0,6.19,95,60,Mikolas,571945.0,"(W, 3-5)",745990,2.0,3,1,1,0,2,0,2.93,28,21,Koenig,657649.0,,"Mikolas  (W, 3-5)",Koenig
6.0,6,3,3,3,3,0,6.19,95,60,Mikolas,571945.0,"(W, 3-5)",745990,1.0,2,1,1,0,1,0,3.71,11,9,"Peguero, E",665625.0,"(L, 4-1)","Mikolas  (W, 3-5)","Peguero, E  (L, 4-1)"
6.0,6,3,3,3,3,0,6.19,95,60,Mikolas,571945.0,"(W, 3-5)",745990,1.0,0,0,0,0,1,0,1.86,17,9,Milner,571948.0,,"Mikolas  (W, 3-5)",Milner
6.0,6,3,3,3,3,0,6.19,95,60,Mikolas,571945.0,"(W, 3-5)",745990,1.0,1,0,0,2,0,0,4.87,26,13,Vieira,600986.0,,"Mikolas  (W, 3-5)",Vieira
1.1,1,0,0,0,2,0,1.33,23,14,"Romero, J",668941.0,"(H, 13)",745990,IP,H,R,ER,BB,K,HR,ERA,P,S,Cardinals Pitchers,0.0,,"Romero, J  (H, 13)",Brewers Pitchers
1.1,1,0,0,0,2,0,1.33,23,14,"Romero, J",668941.0,"(H, 13)",745990,4.0,5,2,2,5,1,1,2.65,80,42,"Wilson, B",669060.0,,"Romero, J  (H, 13)","Wilson, B"
1.1,1,0,0,0,2,0,1.33,23,14,"Romero, J",668941.0,"(H, 13)",745990,2.0,3,1,1,0,2,0,2.93,28,21,Koenig,657649.0,,"Romero, J  (H, 13)",Koenig
1.1,1,0,0,0,2,0,1.33,23,14,"Romero, J",668941.0,"(H, 13)",745990,1.0,2,1,1,0,1,0,3.71,11,9,"Peguero, E",665625.0,"(L, 4-1)","Romero, J  (H, 13)","Peguero, E  (L, 4-1)"
1.1,1,0,0,0,2,0,1.33,23,14,"Romero, J",668941.0,"(H, 13)",745990,1.0,0,0,0,0,1,0,1.86,17,9,Milner,571948.0,,"Romero, J  (H, 13)",Milner
1.1,1,0,0,0,2,0,1.33,23,14,"Romero, J",668941.0,"(H, 13)",745990,1.0,1,0,0,2,0,0,4.87,26,13,Vieira,600986.0,,"Romero, J  (H, 13)",Vieira
0.2,0,0,0,0,1,0,2.76,5,4,Kittredge,552640.0,"(H, 11)",745990,IP,H,R,ER,BB,K,HR,ERA,P,S,Cardinals Pitchers,0.0,,"Kittredge  (H, 11)",Brewers Pitchers
